name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,commisioning_year,State,Counties
Upper Molina,USA0000521,9.9,39.1438,-108.0048,Hydro,1963.0,U S Bureau of Reclamation,17.221,24.43,25.206,25.913,22.859,1963,Colorado,Delta County
Saranac Facility,USA0054574,285.6,44.7132,-73.4557,Gas,1994.0,Saranac Power Partners LP,485.149,224.63099999999997,185.27700000000002,88.579,60.263000000000005,1994,New York,Clinton County
Perdido,USA0057502,3.2,30.57,-87.39,Waste,2010.0,Gulf Power Co,23.401,24.424,24.56,24.094,24.449,2010,Florida,Escambia County
Hadley Solar NG  LLC,USA0059484,3.0,42.3521,-72.5389,Solar,2014.0,NuGen Capital Management,0.0,1.5819999999999999,3.3160000000000003,3.4,3.45,2014,Massachusetts,Hampshire County
GMP Solar - Panton,USA0060562,4.9,44.0858,-73.1954,Solar,2017.0,Green Mountain Power Corp,0.0,0.0,0.0,0.057,8.524,2017,Vermont,Addison County
DE Solar 657 Brigham Rd,USA0057335,1.3,36.1053,-79.9692,Solar,2010.0,Duke Energy Carolinas  LLC,2.12,2.069,1.705,1.895,2.066,2010,North Carolina,Guilford County
Capricorn Ridge Wind LLC,USA0056763,662.5,31.9261,-100.9281,Wind,2007.450566,Capricorn Ridge Wind LLC,1983.817,2066.584,1659.524,1829.154,1821.192,2007,Texas,Sterling County
Foundation Cemex BMQ,USA0058102,3.0,34.6231,-117.1125,Wind,2013.0,Foundation CA Fund VI Manager LLC,3.346,3.49965,2.926,3.367,3.8560000000000003,2013,California,San Bernardino County
Smith (VT),USA0003709,1.5,43.9921,-72.1282,Hydro,1983.0,Green Mountain Power Corp,5.865,3.995,4.626,3.3160000000000003,4.397,1983,New Hampshire,Grafton County
Mount Olive Farm,USA0059107,5.0,35.2019,-78.0817,Solar,2015.0,Mount Olive Farm LLC,0.0,0.423,9.924,10.477,9.978,2015,North Carolina,Wayne County
Apex Generating Station,USA0055514,600.6,36.416,-114.9609,Gas,2003.0,Los Angeles Department of Water & Power,430.26599999999996,1653.509,2647.857,3423.755,3137.1020000000003,2003,Nevada,Clark County
FedEx Woodbridge,USA0057776,2.4,40.5064,-74.3235,Solar,2010.0,SSA Solar of NJ LLC,2.215,2.146,2.162,2.787,2.42,2010,New Jersey,Middlesex County
Langdon Wind II LLC,USA0056912,40.5,48.6292,-98.3164,Wind,2008.0,FPL Energy Langdon Wind LLC,135.757,143.101,146.91,156.668,156.314,2008,North Dakota,Cavalier County
Puente Hills Energy Recovery,USA0010472,50.0,34.0233,-118.0241,Waste,1986.0,Los Angeles County Sanitation,0.0,0.0,351.351,286.774,270.94,1986,California,Los Angeles County
Bisson Windfarm LLC,USA0056201,2.0,43.9844,-96.2194,Wind,2003.0,Bisson Windfarm LLC,6.127000000000001,7.013,6.346,0.385,2.917,2003,Minnesota,Pipestone County
City of Lexington,USA0061467,3.5,40.757,-99.734,Solar,2017.0,IGS ORIX Solar I  LLC,0.0,0.0,0.0,0.0,4.655,2017,Nebraska,Dawson County
McKee Run,USA0000599,113.6,39.1762,-75.5466,Gas,1975.0,NAES Corporation - (DE),14.262,33.479,11.557,33.481,9.079,1975,Delaware,Kent County
Old Hickory,USA0003426,103.7,36.2972,-86.6556,Hydro,1957.24108,USCE-Nashville District,548.2330000000001,489.935,483.68199999999996,390.69199999999995,484.852,1957,Tennessee,Sumner County
Whittemore,USA0001201,1.1,43.0644,-94.4219,Oil,1964.0,City of Whittemore - (IA),0.0,0.0,0.0,0.0,0.0,1964,Iowa,Kossuth County
Norfork,USA0000196,80.4,36.2491,-92.2401,Hydro,1947.0,USCE-Little Rock District,147.606,135.66899999999998,249.31,233.28099999999998,243.485,1947,Arkansas,Izard County
Hydro III,USA0003675,1.4,41.7464,-111.74600000000001,Hydro,1926.0,City of Logan - (UT),2.707,4.736000000000001,5.0,5.1080000000000005,6.0489999999999995,1926,Utah,Cache County
Kit Carson Windpower,USA0057244,51.0,39.3383,-102.3533,Wind,2010.0,Kit Carson Windpower LLC,182.628,192.90900000000002,171.382,185.296,175.696,2010,Colorado,Kit Carson County
Cascade,USA0001129,5.2,42.2982,-91.012,Oil,1976.1538460000002,Cascade Municipal Utilities,0.017,0.011000000000000001,0.01,0.026000000000000002,0.066,1976,Iowa,Dubuque County
Moncure Farm LLC,USA0059123,3.0,35.5683,-79.0325,Solar,2014.0,Moncure Farm LLC,0.0,4.813,6.024,6.377000000000001,6.242999999999999,2014,North Carolina,Lee County
Sub 2 Generating Station,USA0056126,3.6,39.7503,-92.5,Oil,2004.0,City of Macon - (MO),0.006999999999999999,0.0,0.0,0.0,0.0,2004,Missouri,Macon County
Craig (CO),USA0006021,1427.6,40.4627,-107.5912,Coal,1981.185766,Tri-State G & T Assn  Inc,8197.480031000001,9281.410042,8020.477004,8325.432955,7953.454035,1981,Colorado,Moffat County
OCI Alamo Solar I,USA0058537,41.7,29.2717,-98.4447,Solar,2014.047962,OCI Solar Power,0.0,56.043,72.61,0.0,70.789,2014,Texas,Bexar County
Remington,USA0007838,705.5,38.5442,-77.7714,Gas,2000.0,Virginia Electric & Power Co,595.318005,448.032998,890.7240019999999,667.085999,509.390999,2000,Virginia,Fauquier County
Kalaeloa Renewable Energy Park,USA0058651,5.0,21.3281,-158.04,Solar,2014.0,Hanwha Q CELLS USA,0.0,8.826,9.137,8.91792,8.3853,2014,Hawaii,Honolulu County
Northfield Community Solar,USA0060717,5.0,44.4754,-93.1983,Solar,2017.0,Northfield Community Solar,0.0,0.0,0.0,0.0,8.168,2017,Minnesota,Rice County
B Braun Medical,USA0050200,6.1,33.6887,-117.8348,Gas,1989.032787,B Braun Medical Inc,35.625,34.681999999999995,40.23,36.55,34.659,1989,California,Orange County
Hawkeye Wind Farm,USA0057832,35.0,42.9489,-92.0622,Wind,2012.0,RPMA Operations LLC,133.10399999999998,139.29,146.754,136.57,140.20600000000002,2012,Iowa,Bremer County
Heritage Garden Wind Farm I LLC,USA0058103,28.0,45.7956,-86.5339,Wind,2012.0,Heritage Garden Wind Farm I LLC,79.92,83.39200000000001,82.059,79.808,79.87,2012,Michigan,Schoolcraft County
Alta Municipal Utilities,USA0001121,1.0,42.6736,-95.3026,Oil,1947.0,City of Alta - (IA),0.008,0.0,0.0,0.0,0.0,1947,Iowa,Buena Vista County
Eurus Combine Hills Turbine Ranch 2,USA0057137,63.0,45.943000000000005,-118.59100000000001,Wind,2010.0,Eurus Combine Hills II LLC,150.135,161.908,139.389,173.247,127.38,2010,Oregon,Umatilla County
RE McKenzie 6,USA0057821,5.0,38.3026,-121.2958,Solar,2012.0,X-Elio North America Inc,12.929,12.280999999999999,12.315999999999999,12.370999999999999,12.019,2012,California,Sacramento County
Nitro Solar,USA0059501,5.0,35.4869,-78.3139,Solar,2015.0,Greenbacker Renewable Energy Corporation,0.0,0.0,2.9610000000000003,7.468999999999999,2.952,2015,North Carolina,Johnston County
Mitchell Solar  LLC,USA0059411,1.5,34.765,-117.3236,Solar,2015.0,CD US Solar PO 3  LLC,0.0,0.09,4.107,4.484,4.294,2015,California,San Bernardino County
Tulsa LFG LLC,USA0057828,3.2,36.162,-96.1865,Waste,2012.0,Tulsa LFG LLC,18.016,15.640999999999998,12.552999999999999,14.573,18.916,2012,Oklahoma,Tulsa County
Carlls Corner,USA0002379,83.8,39.4547,-75.2014,Gas,1973.0,Calpine New Jersey Generation LLC,0.0,0.0,0.0,0.0,9.673,1973,New Jersey,Cumberland County
Goat Rock,USA0000707,38.6,32.6097,-85.0805,Hydro,1969.896373,Georgia Power Co,191.39700000000002,138.63,160.44899999999998,116.12799999999999,123.13,1969,Alabama,Lee County
Bay View Cogeneration Facility,USA0058263,12.0,41.6883,-83.4847,Waste,2010.5416670000002,COT/Division of Water Reclamation,5.664,4.89,0.0,0.0,0.0,2010,Ohio,Lucas County
Cleary Flood,USA0001682,146.3,41.8653,-71.1061,Gas,1974.0656190000002,City of Taunton,80.403,139.723999,168.174996,77.666,57.677,1974,Massachusetts,Bristol County
HNL Emergency Power Facility,USA0058469,10.0,21.3364,-157.9194,Other,2017.0,Hawaiian Electric Co Inc,0.0,0.0,0.0,0.0,0.7,2017,Hawaii,Honolulu County
Hampton Solar I,USA0061325,6.8,32.879,-81.133,Solar,2017.0,Pine Gate Renewables,0.0,0.0,0.0,0.0,4.75,2017,South Carolina,Hampton County
Lindahl Wind Project  LLC,USA0059684,150.0,48.533,-102.93299999999999,Wind,2017.0,Enel Green Power NA  Inc.,0.0,0.0,0.0,0.0,474.44599999999997,2017,North Dakota,Williams County
SunE Alamosa,USA0056481,8.2,37.6903,-105.8805,Solar,2008.0,SunE Alamosa1 LLC,16.907,16.601,2.638,2.636,34.876,2008,Colorado,Alamosa County
Pine,USA0004045,3.2,45.8275,-88.2483,Hydro,1922.0,Wisconsin Electric Power Co,11.224,15.299000000000001,13.98,16.578,22.781,1922,Wisconsin,Florence County
CIP II/AR Bridgewater Holdings - NJCOE,USA0010122,5.0,40.624,-74.634,Gas,2002.0,CIP II/AR Bridgewater Holdings LLC,16.94812,26.83632,25.74362,24.90474,26.575640000000003,2002,New Jersey,Somerset County
Sumrall I Solar Farm,USA0060306,52.0,31.4035,-89.4976,Solar,2017.0,MS Solar 2  LLC,0.0,0.0,0.0,0.0,58.235,2017,Mississippi,Lamar County
NWP Indian Mesa Wind Farm,USA0055747,82.5,30.9315,-102.2014,Wind,2001.0,NWP Indian Mesa Wind Farm LP,219.69299999999998,223.91400000000002,168.09099999999998,152.68,175.949,2001,Texas,Upton County
Waters River,USA0001678,64.9,42.5429,-70.9283,Gas,1984.09245,City of Peabody - (MA),7.152,10.647,10.578,6.132000000000001,14.306,1984,Massachusetts,Essex County
Seminole (OK),USA0002956,1701.0,34.9665,-96.7258,Gas,1973.0,Oklahoma Gas & Electric Co,3107.5240000000003,0.0,0.0,0.0,976.742,1973,Oklahoma,Seminole County
AES ADA Energy Storage Array,USA0060811,2.0,40.1218,-75.4172,Storage,2013.0,Fluence,0.0,0.0,0.0,-5.046,-3.115,2013,Pennsylvania,Montgomery County
Lochmere Hydroelectric Plant,USA0054572,1.2,43.4732,-71.5336,Hydro,1985.0,Eagle Creek RE LLC,3.235,3.574,3.2460000000000004,2.679,3.958,1985,New Hampshire,Belknap County
Viking Wind Partners,USA0056153,12.0,43.9835,-96.0118,Wind,2004.0,Allete Clean Energy,36.24,37.735,37.928000000000004,36.424,33.805,2004,Minnesota,Pipestone County
Rock Falls Wind Farm LLC,USA0061261,154.5,36.9272,-97.4271,Wind,2018.0,EDF Renewable Asset Holdings  Inc.,0.0,0.0,0.0,0.0,45.648,2018,Oklahoma,Kay County
Elevation Solar C,USA0059964,40.0,34.7303,-118.3042,Solar,2017.0,Sustainable Power Group  LLC,0.0,0.0,0.0,9.046,110.367,2017,California,Los Angeles County
Warrior Ridge Hydro,USA0010152,2.8,40.54,-78.0346,Hydro,1986.0,American Hydro Power Company,6.223,6.57,7.322,6.935,5.725,1986,Pennsylvania,Huntingdon County
Greenwood (MO),USA0006074,247.0,38.8615,-94.2982,Gas,1976.979757,KCP&L Greater Missouri Operations Co,3.963,43.721000000000004,29.051,16.199,9.031,1976,Missouri,Jackson County
AES Huntington Beach LLC,USA0000335,436.0,33.6439,-117.9792,Gas,1958.5,AES Huntington Beach LLC,851.663,912.2339999999999,722.497,486.191,408.97,1958,California,Orange County
Crockett Farm,USA0059561,5.0,35.2308,-77.5525,Solar,2015.0,Crockett Farm  LLC,0.0,0.168,9.621,9.33,8.878,2015,North Carolina,Lenoir County
SMUD at Grundman,USA0057669,17.0,38.3647,-121.4128,Solar,2012.0,Sacramento PV Energy  LLC,37.614000000000004,34.798,34.515,32.147,31.951999999999998,2012,California,Sacramento County
Eagle Valley Clean Energy LLC Biomass,USA0058574,12.6,39.6481,-106.9431,Waste,2014.0,Eagle Valley Clean Energy LLC,1.2830000000000001,43.673,0.8320000000000001,85.822,90.994,2014,Colorado,Eagle County
Bakatsias Solar,USA0061527,5.0,36.0724,-79.3475,Solar,2018.0,Cypress Creek Renewables,0.0,0.0,0.0,0.0,0.0,2018,North Carolina,Alamance County
Power Generation Station (PGS) 2,USA0057696,4.6,37.8258,-122.2961,Biomass,2012.0,East Bay Municipal Util Dist,26.090999999999998,30.559,29.06,28.291999999999998,22.773000000000003,2012,California,Alameda County
Indian Point 2,USA0002497,1299.0,41.2706,-73.9527,Nuclear,1973.0,Entergy Nuclear Indian Point 2,8784.643,8330.556,8811.875,6050.001,8350.154,1973,New York,Westchester County
Hydro Plant,USA0001856,2.2,41.9711,-85.5381,Hydro,1956.818182,City of Sturgis,8.647,8.771,7.632999999999999,9.228,7.907,1956,Michigan,Saint Joseph County
Vaca Dixon Battery Storage System,USA0059256,2.0,38.3933,-121.9278,Storage,2013.0,Pacific Gas & Electric Co.,0.0,0.0,0.0,-1.413,-1.386,2013,California,Solano County
Emerson,USA0002235,1.6,42.276,-96.7292,Gas,1964.6875,City of Emerson - (NE),0.023,0.025,0.012,0.009000000000000001,0.008,1964,Nebraska,Dixon County
Mount Sinai Beth Israel,USA0061569,2.3,40.7327,-73.9816,Oil,1988.0,Mount Sinai Beth Israel,0.0,0.0,0.0,0.0,0.0,1988,New York,
Mass Midstate Solar 3,USA0058275,4.0,42.2197,-71.8786,Solar,2014.0,First Wind O&M  LLC,0.0,3.737,6.274,6.3629999999999995,5.97,2014,Massachusetts,Worcester County
Thomson,USA0001901,72.6,46.655,-92.3333,Hydro,1916.768595,ALLETE  Inc.,0.0,11.395,199.037,417.421,477.94699999999995,1916,Minnesota,Carlton County
Border Winds Wind Farm,USA0059200,150.0,48.9647,-99.6139,Wind,2015.0,Northern States Power Co - Minnesota,0.0,0.0,102.109,622.257,641.863,2015,North Dakota,Rolette County
Skillman,USA0059057,2.7,40.5744,-74.6481,Solar,2011.0,Janssen Pharmaceutical Co,3.0660000000000003,2.51262,2.6591400000000003,2.95119,2.545,2011,New Jersey,Somerset County
Hatchet Ridge Wind Project,USA0056654,101.2,40.8981,-121.8036,Wind,2011.0,Pattern Operators LP,280.223,295.512,266.264,287.24,292.43,2011,California,Shasta County
IGS Solar I - BWI2,USA0061465,1.4,39.266999999999996,-76.548,Solar,2017.0,IGS ORIX Solar I  LLC,0.0,0.0,0.0,0.0,2.322,2017,Maryland,Baltimore County
Soboba Community Solar Project,USA0061834,1.0,33.7671,-116.9059,Solar,2016.0,Soboba Band of Luiseno Indians,0.0,0.0,0.0,0.0,1.931,2016,California,Riverside County
Crestwood Dothan,USA0054985,8.6,31.2624,-85.4027,Oil,1998.976744,Crestwood Corp,0.741,0.7240000000000001,0.8759999999999999,0.695,0.423,1998,Alabama,Houston County
Corcoran Solar,USA0058374,20.0,36.1383,-119.5733,Solar,2013.0,Consolidated Edison Development Inc.,19.83465,51.228,52.42,51.178999999999995,50.896,2013,California,Kings County
Boomer Lake Station,USA0003000,6.0,36.1438,-97.0681,Oil,2004.0,Stillwater Utilities Authority,0.191,1.0190000000000001,1.157,0.02,0.0,2004,Oklahoma,Payne County
Black Butte,USA0007229,6.1,39.8149,-122.3323,Hydro,1988.0,City of Santa Clara - (CA),7.52499,4.845,5.135,9.463,17.817999999999998,1988,California,Glenn County
East Pecos Solar,USA0060436,118.5,31.0009,-102.2817,Solar,2017.0,Southern Power Co,0.0,0.0,0.0,0.0,241.679,2017,Texas,Upton County
O'Fallon Renewable Energy Center,USA0061826,4.5,38.8266,-90.6781,Solar,2015.0,Ameren Missouri,0.0,0.0,0.0,0.0,5.943,2015,Missouri,Saint Charles County
Kaheawa Pastures Wind Farm,USA0056449,30.0,20.8142,-156.55100000000002,Wind,2006.0,First Wind O&M  LLC,101.51,108.98,110.677,110.484,90.32700000000001,2006,Hawaii,Maui County
651 Chase Solar NG,USA0059046,2.5,42.6267,-71.7428,Solar,2014.0,651 Chase Solar NG LLC,0.0,1.611,4.226,4.2,4.034,2014,Massachusetts,Worcester County
Juniper Networks Sunnyvale,USA0058301,1.1,37.4069,-122.0269,Gas,2013.0,Bloom Energy,2.83239,5.2170000000000005,6.1370000000000005,6.751,7.777,2013,California,Santa Clara County
EcoGrove Wind LLC,USA0056805,100.5,42.4515,-89.8784,Wind,2009.0,Acciona Wind Energy USA LLC,253.96900000000002,273.215,275.503,250.93599999999998,263.95,2009,Illinois,Stephenson County
Pratt 2,USA0007447,16.0,37.6356,-98.745,Gas,1999.0,City of Pratt- (KS),1.598,0.691,1.2429999999999999,0.887,0.253,1999,Kansas,Pratt County
Elmore Company,USA0010634,45.5,33.1777,-115.6033,Geothermal,1988.0,CalEnergy Operating Corporation,325.529,344.67,353.22,305.377,288.346,1988,California,Imperial County
Dresden Energy Facility,USA0055350,678.3,40.0928,-82.0276,Gas,2012.0,Appalachian Power Co,2954.717,0.0,4144.393,3956.473,3761.9709999999995,2012,Ohio,Muskingum County
Bavarian LFGTE,USA0056277,4.8,38.8608,-84.6556,Waste,2007.3333329999998,East Kentucky Power Coop  Inc,24.535999999999998,22.761,22.741999999999997,26.72,36.118,2007,Kentucky,Boone County
Earl F Wisdom,USA0001217,119.1,43.1606,-95.2569,Gas,1990.1460960000002,Corn Belt Power Coop,74.38,0.0,0.0,0.0,9.056000000000001,1990,Iowa,Clay County
MPC Generating,USA0007764,386.1,33.8119,-83.6953,Gas,2000.519814,SEPG Operating Services  LLC MPC,6.051,4.35,22.334,18.309,14.585,2000,Georgia,Walton County
Sierra Pacific Sonora,USA0054517,7.5,37.9664,-120.3178,Waste,2001.0,Sierra Pacific Industries Inc,25.122,38.49057,31.574,28.438000000000002,29.646,2001,California,Tuolumne County
Island Street Peaking Plant,USA0055836,60.5,44.2761,-88.2658,Gas,2004.0,WPPI Energy,0.0,11.333,0.0,0.0,5.736000000000001,2004,Wisconsin,Outagamie County
Hutchinson Plant #1,USA0001980,33.3,44.8957,-94.3684,Gas,1981.3333329999998,Hutchinson Utilities Comm,0.0,0.0,0.0,0.0,8.513,1981,Minnesota,McLeod County
Summit Farms Solar,USA0060611,60.0,36.4765,-76.13600000000001,Solar,2017.0,Summit Farms LLC,0.0,0.0,0.0,4.58,125.682,2017,North Carolina,Currituck County
Bowling Green Peaking,USA0007783,32.0,41.3884,-83.6402,Gas,2000.0,American Mun Power-Ohio  Inc,0.0,0.0,0.0,0.0,2.137,2000,Ohio,Wood County
Joseph J Seymour Power Project,USA0007910,94.0,40.6631,-74.0,Gas,2001.0,New York Power Authority,185.765,73.738,118.779,113.53200000000001,86.709,2001,New York,
Fulton LFGTE Facility,USA0057003,3.2,43.0142,-74.4739,Waste,2010.0,Innovative Energy Systems Inc,13.317,12.395,10.982000000000001,11.882,12.95,2010,New York,Fulton County
Augusta Electric Plant No 2,USA0006791,20.7,37.6861,-96.965,Gas,1983.743961,City of Augusta - (KS),-0.8690000000000001,-0.569,-0.62,-0.276,-0.795,1983,Kansas,Butler County
Limon Generating Station,USA0055504,154.2,39.2038,-103.7005,Gas,2002.0,Tri-State G & T Assn  Inc,46.519,27.719,28.951999999999998,51.2,37.001,2002,Colorado,Lincoln County
Dean Drive Area Electric Generators,USA0056491,3.2,38.7486,-77.4908,Oil,2007.0,City of Manassas - (VA),0.048,0.073,0.102,0.049,0.042,2007,Virginia,City of Manassas
West Tennessee Solar Farm,USA0058431,4.2,35.4086,-89.3875,Solar,2012.0,UT West Tennessee Solar Farm,5.095,5.794,5.818,6.051,5.66,2012,Tennessee,Tipton County
NBC Field's Point Wind Farm,USA0059692,4.5,41.7941,-71.3892,Wind,2012.0,Narragansett Bay Commission,0.0,7.532,6.999,6.771,7.154,2012,Rhode Island,Providence County
Falmouth Landfill Solar,USA0061562,3.0,41.6101,-70.5986,Solar,2017.0,Citizens Enterprises Corporation,0.0,0.0,0.0,0.0,3.697,2017,Massachusetts,Barnstable County
Cascade Creek,USA0006058,84.9,44.0322,-92.4908,Gas,1990.8692579999997,Rochester Public Utilities,8.316,9.064,34.658,39.268,25.785,1990,Minnesota,Olmsted County
Jersey Gardens Phase 1,USA0058653,1.7,40.6608,-74.1733,Solar,2012.0,SEDC Jersey Gardens Owner LLC,2.3169999999999997,2.26,2.259,2.392,2.189,2012,New Jersey,Union County
FPL Energy Vansycle LLC (OR),USA0055989,122.8,46.0128,-118.8162,Wind,2002.0,FPL Energy Vansycle LLC,269.733,274.382,238.2,284.876,232.62900000000002,2002,Washington,Benton County
Overall Road Station,USA0056600,8.0,37.7608,-90.4526,Oil,2003.0,City of Farmington - (MO),0.028999999999999998,0.0,0.0,0.03,0.037000000000000005,2003,Missouri,Saint Francois County
Allegheny Hydro No 9,USA0050898,17.8,40.955999999999996,-79.5507,Hydro,1991.0,Allegheny Hydro LP,112.693,125.50200000000001,104.63600000000001,106.54,100.228,1991,Pennsylvania,Armstrong County
Adams Ave MS and HS,USA0060772,3.1,39.4114,-74.5309,Solar,2011.580645,Marina Energy LLC,0.0,0.0,0.0,4.8389999999999995,5.085,2011,New Jersey,Atlantic County
Wilson Solar Farm 6,USA0061279,10.0,35.68,-77.87,Solar,2017.0,GCL New Energy  Inc.,0.0,0.0,0.0,0.0,11.610999999999999,2017,North Carolina,Wilson County
Wabash Valley Power IGCC,USA0057842,192.0,39.53,-87.4247,Gas,1995.0,Wabash Valley Power Assn  Inc,1577.281967,1285.479,1223.856005,540.994004,48.88,1995,Indiana,Vigo County
Northeastern,USA0002963,1477.5,36.4317,-95.7008,Gas,1979.6896789999998,Public Service Co of Oklahoma,9353.65905,0.0,8097.405970000001,4774.1289799999995,3951.3699799999995,1979,Oklahoma,Rogers County
Sentinel Energy Center  LLC,USA0057482,800.0,33.9342,-116.5714,Gas,2013.0,CPV Sentinel LLC,309.195,490.525,656.8539999999999,449.31,489.236,2013,California,Riverside County
Detour,USA0006369,6.0,45.9836,-83.9079,Oil,1974.5,Cloverland Electric Co-op,0.45799999999999996,0.33799999999999997,0.0,0.0,0.0,1974,Ontario,
Mountain Home,USA0056636,21.0,43.0272,-115.4656,Wind,2008.0,Hot Springs Windfarm  LLC,38.839,41.453,32.111,40.876,40.876,2008,Idaho,Elmore County
Vilas Solar Array,USA0061606,4.0,37.384,-102.46600000000001,Solar,2018.0,AEP Onsite Partners,0.0,0.0,0.0,0.0,0.198,2018,Colorado,Baca County
Progress Solar III  LLC,USA0058495,3.5,34.7142,-79.3539,Solar,2012.0,O2energies  Inc.,6.312,6.439,6.058,6.325,6.291,2012,North Carolina,Robeson County
SF State University,USA0057043,1.6,37.7239,-122.4775,Gas,2011.0,Pacific Gas & Electric Co.,10.17,9.365,3.89,1.508,1.574,2011,California,San Mateo County
Outback Solar At Christmas Valley,USA0058131,4.4,43.2369,-120.49,Solar,2012.0,Outback Solar  LLC,10.705,10.46,10.229,9.439,9.902999999999999,2012,Oregon,Lake County
Innovative Solar 48,USA0059667,4.9,34.7116,-79.3024,Solar,2015.0,Innovative Solar 48  LLC,0.0,0.0,0.249,9.214,9.707,2015,North Carolina,Robeson County
Central District Wastewater Treat Plant,USA0054623,4.8,25.7486,-80.1528,Biomass,2014.0,Miami Dade Water & Sewer Dept,14.227,15.305,14.147,14.679,8.88,2014,Florida,Miami-Dade County
Corning,USA0001134,6.8,40.9871,-94.7352,Oil,1993.235294,City of Corning - (IA),0.01,0.031,0.013000000000000001,0.008,0.002,1993,Iowa,Adams County
Springfield Power LLC,USA0010838,20.0,43.4429,-72.056,Waste,1988.0,Springfield Power LLC,137.952,142.411,140.516,139.436,137.91899999999998,1988,New Hampshire,Sullivan County
Gardner Energy Center,USA0007281,39.2,38.8308,-94.8903,Gas,1990.0,City of Gardner - (KS),0.0,0.0,0.0,0.0,0.203,1990,Kansas,Johnson County
Picture Rocks Solar  LLC,USA0058486,20.0,32.3697,-111.2428,Solar,2013.0,NVT LICENSES  LLC,55.993,54.903,52.576,55.748000000000005,53.413999999999994,2013,Arizona,Pima County
Shirley Landfill,USA0060753,1.0,42.5417,-71.6764,Solar,2017.0,Altus Power America Management  LLC,0.0,0.0,0.0,0.0,0.8009999999999999,2017,Massachusetts,Middlesex County
Westlands Solar PV Farm,USA0058616,18.0,36.1381,-120.0758,Solar,2014.0,Westlands Solar Farms  LLC,0.0,43.05015,45.721000000000004,45.434,43.273,2014,California,Fresno County
Settlers Trail Wind Farm LLC,USA0057493,150.4,40.6944,-87.5708,Wind,2011.0,E ON Climate Renewables N America LLC,328.059,354.64,420.81,380.904,413.155,2011,Illinois,Iroquois County
Lewiston Niagara,USA0002692,240.0,43.143,-79.02199999999999,Hydro,1961.75,New York Power Authority,-321.60400000000004,-315.31,-245.347,-284.77,-252.637,1961,New York,Niagara County
Engineered Carbons Borger Cogen,USA0010072,20.0,35.667,-101.432,Gas,1982.0,Orion Engineered Carbons,97.15299999999999,97.875,91.37700000000001,82.369,58.321999999999996,1982,Texas,Hutchinson County
Valley Falls Hydroelectric Facility,USA0050034,2.5,42.9044,-73.5625,Hydro,1985.0,Valley Falls Associates,9.898,8.177,6.847,7.43,9.047,1985,New York,Saratoga County
Kemper County,USA0007960,372.0,32.7976,-88.60600000000001,Gas,2002.0,Tennessee Valley Authority,99.919,97.81700000000001,222.71899700000003,474.08200199999993,226.745,2002,Mississippi,Kemper County
NJMC Landfill,USA0057724,2.5,40.7508,-74.11,Solar,2012.0,Public Service Elec & Gas Co,3.8939999999999997,3.83,3.947,4.018,3.745,2012,New Jersey,Hudson County
NedPower Mount Storm,USA0056495,264.0,39.2175,-79.2094,Wind,2008.378788,Shell Wind Energy Inc.,600.2769999999999,604.75,618.493,633.024,566.611,2008,West Virginia,Grant County
WC Landfill Energy LLC,USA0057848,1.0,40.830999999999996,-75.0158,Solar,2013.0,WC Landfill Energy LLC,3.57,9.488,6.63,0.0,1.5019999999999998,2013,New Jersey,Warren County
Oak Point Cogen,USA0055857,23.5,29.811999999999998,-90.0084,Gas,1999.0,Chevron Oronite Co LLC,92.365,90.766,88.538,95.337,96.44,1999,Louisiana,Plaquemines Parish
Kings Beach,USA0006518,15.0,39.2458,-120.0272,Oil,2008.0,Liberty Utilities (CalPeco Electric) LLC,0.083,0.39899999999999997,0.498,0.225,0.314,2008,California,Placer County
Lockville Hydropower,USA0010051,1.2,35.6184,-79.0912,Hydro,1985.0,Brooks Energy  LLC,2.866,1.9180000000000001,2.416,2.398,0.818,1985,North Carolina,Chatham County
John Deere Dubuque Works,USA0054414,9.0,42.5734,-90.6926,Oil,1994.0,John Deere Dubuque Works,0.0,0.0,0.0,0.0,0.0245,1994,Iowa,Dubuque County
Valdez Cogen,USA0007841,5.3,61.0839,-146.2529,Oil,2000.0,Copper Valley Elec Assn  Inc,0.0,0.0,0.0,0.0,21.410999999999998,2000,Alaska,Valdez-Cordova Census Area
Moccasin,USA0000381,100.0,37.8094,-120.2993,Hydro,1969.0,City & County of San Francisco,346.041,287.85200000000003,252.03799999999998,359.476,324.849,1969,California,Tuolumne County
Suwannee River,USA0000638,183.6,30.3764,-83.1806,Gas,1980.0,Duke Energy Florida  LLC,531.8490009999999,524.9630000000001,524.217,475.125,34.056,1980,Florida,Suwannee County
Windy Ridge Generating Facility,USA0058055,1.4,41.0347,-87.2603,Biomass,2012.0,T&M Limited Partnership,11.082,10.979000000000001,10.195,11.227,9.406,2012,Indiana,Newton County
West Group Data Center F,USA0056247,8.0,44.8283,-93.1167,Oil,2004.0,Thomson Corp,0.342,0.153,0.222,0.163,0.087,2004,Minnesota,Dakota County
Port Richmond WWT Solar,USA0058647,1.0,40.6381,-74.1261,Solar,2015.0,Consolidated Edison Solutions Inc,0.0,0.0,0.0,1.528,1.663,2015,New Jersey,Hudson County
